Timestamp,Date,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
9/28/2022 19:37:41,28/9/2022,20,Spotify,5,Yes,Yes,Yes,R&B,Yes,Yes,128,Very frequently,Sometimes,Never,Sometimes,Never,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,10,6,3,8,Improve
9/29/2022 17:54:15,29/9/2022,16,Spotify,3,No,Yes,No,Rock,Yes,Yes,90,Rarely,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Very frequently,Never,7,3.5,3.5,5.5,Improve
10/02/2022 07:52:02,2/10/2022,17,Spotify,4,Yes,Yes,Yes,Country,Yes,Yes,110,Sometimes,Very frequently,Never,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Sometimes,Never,Very frequently,Rarely,Rarely,Sometimes,Never,2,0,0,2,Improve
10/03/2022 09:30:19,3/10/2022,16,Spotify,9,Yes,No,No,Metal,No,Yes,130,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,10,10,10,8,Improve
10/03/2022 10:00:01,3/10/2022,20,YouTube Music,1,Yes,No,No,Pop,No,Yes,150,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Rarely,Sometimes,Rarely,Very frequently,8,9,6,5,Worsen
10/03/2022 10:25:46,3/10/2022,30,YouTube Music,1,Yes,Yes,No,Rock,Yes,Yes,115,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,9,7,8,4,Improve
10/03/2022 10:53:28,3/10/2022,37,Spotify,2,Yes,No,No,Folk,Yes,No,186,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,6,4,5,0,Improve
10/03/2022 11:30:10,3/10/2022,44,YouTube Music,1.5,No,No,No,Folk,No,No,99,Rarely,Very frequently,Never,Very frequently,Rarely,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Sometimes,Never,8,5,9,4,Improve
10/03/2022 13:01:06,3/10/2022,21,Spotify,2,Yes,Yes,No,Metal,Yes,Yes,150,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Rarely,3,7,0,0,Improve
10/03/2022 13:47:14,3/10/2022,19,Spotify,4,Yes,Yes,No,Pop,Yes,No,149,Sometimes,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Never,9,1,0,9,Improve
10/03/2022 15:38:19,3/10/2022,23,Spotify,1,Yes,Yes,No,Rock,Yes,Yes,148,Rarely,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,8,6,1,4,Improve
10/03/2022 16:43:32,3/10/2022,26,Spotify,1,No,No,No,Country,Yes,No,120,Sometimes,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Rarely,4,1,1,6,Improve
10/03/2022 20:03:57,3/10/2022,18,Spotify,3,Yes,No,No,Video game music,Yes,Yes,140,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Very frequently,6,5,3,1,No effect
10/04/2022 00:48:34,4/10/2022,35,Spotify,4,Yes,Yes,Yes,Hip hop,Yes,No,90,Sometimes,Rarely,Rarely,Sometimes,Never,Very frequently,Very frequently,Never,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Sometimes,Very frequently,7,8,6,5,Improve
10/04/2022 04:50:49,4/10/2022,16,Spotify,8,Yes,Yes,Yes,Rock,Yes,No,120,Very frequently,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Sometimes,8,9,5,10,Improve
10/04/2022 08:12:33,4/10/2022,19,Spotify,5,Yes,No,No,Metal,Yes,Yes,210,Never,Never,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,8,6,7,0,Improve
10/04/2022 08:53:39,4/10/2022,23,I do not use a streaming service.,3,Yes,No,No,Rock,No,No,123,Never,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Very frequently,Never,10,5,2,0,Improve
10/04/2022 14:50:28,4/10/2022,17,YouTube Music,8,Yes,No,No,Pop,Yes,Yes,95,Rarely,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Very frequently,Never,Rarely,Rarely,Very frequently,5,2,4,7,No effect
10/04/2022 19:33:42,4/10/2022,29,Apple Music,1,No,No,No,Country,Yes,No,163,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,9,3,2,0,No effect
10/04/2022 19:43:11,4/10/2022,21,Spotify,4,Yes,Yes,Yes,Pop,No,No,97,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,4,6,3,4,Improve
10/05/2022 08:58:16,5/10/2022,17,Spotify,1,No,No,No,Metal,Yes,Yes,137,Sometimes,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,9,8,4,0,Improve
10/05/2022 12:30:23,5/10/2022,23,Spotify,2,No,No,No,Rock,Yes,Yes,177,Rarely,Never,Rarely,Rarely,Never,Sometimes,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Never,5,7,10,2,No effect
10/06/2022 03:35:11,6/10/2022,17,Spotify,1,Yes,Yes,No,Metal,Yes,Yes,70,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Never,Very frequently,Very frequently,Very frequently,Sometimes,Never,Never,Very frequently,Very frequently,8,3,9,2,No effect
10/06/2022 09:17:46,6/10/2022,22,Spotify,3,Yes,No,No,Video game music,Yes,Yes,150,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Very frequently,Rarely,Rarely,Sometimes,Very frequently,10,10,6,8,Improve
10/09/2022 22:15:59,9/10/2022,17,Spotify,5,Yes,No,No,Hip hop,Yes,No,168,Rarely,Sometimes,Very frequently,Never,Sometimes,Very frequently,Never,Sometimes,Never,Sometimes,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Rarely,7,7,5,5,Improve
10/11/2022 15:46:46,11/10/2022,19,Spotify,5,Yes,Yes,No,Pop,Yes,Yes,163,Very frequently,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Very frequently,Rarely,Very frequently,Rarely,Rarely,Sometimes,Rarely,10,8,1,0,Improve
10/14/2022 18:01:12,14/10/2022,19,Spotify,4,Yes,No,No,Pop,Yes,Yes,140,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,8,6,2,0,Improve
10/14/2022 20:42:26,14/10/2022,16,Spotify,6,Yes,No,No,Pop,Yes,Yes,105,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Sometimes,Very frequently,Very frequently,Rarely,Never,Very frequently,Very frequently,Very frequently,Never,Never,10,7,6,10,Improve
10/15/2022 14:00:55,15/10/2022,19,Spotify,6,Yes,No,No,Pop,Yes,Yes,78,Rarely,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Rarely,Rarely,Rarely,Sometimes,6,6,8,0,Improve
10/22/2022 15:20:29,22/10/2022,13,Spotify,1,Yes,No,No,Video game music,Yes,No,128,Rarely,Sometimes,Never,Rarely,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Never,Sometimes,Sometimes,Very frequently,10,10,8,4,Worsen
10/23/2022 20:50:27,23/10/2022,18,Apple Music,18,Yes,No,No,EDM,Yes,No,90,Sometimes,Rarely,Very frequently,Never,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,9,8,5,10,Improve
10/26/2022 19:45:54,26/10/2022,26,YouTube Music,1,Yes,No,No,Metal,Yes,Yes,136,Sometimes,Rarely,Sometimes,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Very frequently,Rarely,Never,Never,Never,Rarely,0,0,0,0,No effect
10/30/2022 7:24:08,30/10/2022,14,Other streaming service,7,Yes,Yes,No,Country,Yes,No,108,Rarely,Very frequently,Sometimes,Sometimes,Very frequently,Sometimes,Never,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Very frequently,Rarely,7,3,1,2,Improve
10/30/2022 13:13:32,30/10/2022,21,I do not use a streaming service.,0.5,No,No,No,Pop,Yes,No,95,Never,Rarely,Sometimes,Never,Never,Sometimes,Rarely,Sometimes,Never,Very frequently,Never,Very frequently,Sometimes,Sometimes,Very frequently,Never,6,2,2,0,Improve
10/30/2022 13:15:26,30/10/2022,21,Spotify,2,Yes,No,No,R&B,Yes,Yes,147,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Very frequently,Never,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,7,6,4,6,Improve
10/30/2022 14:37:28,30/10/2022,17,Spotify,2,Yes,Yes,No,Rock,Yes,Yes,120,Very frequently,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Very frequently,Never,7,6,0,9,Improve
11/01/2022 22:26:42,1/11/2022,18,Spotify,1,Yes,Yes,No,Pop,Yes,Yes,160,Rarely,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Very frequently,Never,Never,Sometimes,Sometimes,3,2,2,5,Improve
11/03/2022 23:24:38,3/11/2022,19,Other streaming service,6,Yes,No,Yes,Rap,Yes,No,120,Rarely,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,2,2,2,2,Improve
11/04/2022 17:31:47,4/11/2022,19,Spotify,5,Yes,Yes,No,Classical,No,No,170,Very frequently,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,2,3,2,1,Improve
11/09/2022 01:55:20,9/11/2022,29,YouTube Music,2,Yes,No,No,Hip hop,Yes,Yes,98,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Never,Rarely,Never,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,2,2,2,5,Improve
